Reservation No.,Year of reservation made,Month of reservation made,Date of reservation made,Hour of reservation made,Minutes of reservation made,Year of planned departure,Month of planned departure,Date of planned departure,Hour of planned departure,Minutes of planned departure,Year of planned arrival,Month of planned arrival,Date of planned arrival,Hour of planned arrival,Minutes of planned arrival,Year of checked in ,Month of checked in ,Date of checked in ,Hour of checked in ,Minutes of checked in ,Year of checked out,Month of checked out,Date of checked out,Hour of checked out,Minutes of checked out,Station ID of checked in,Station name,Station ID of checked out,Station name,Vehicle type,Vehicle registraiton No.,Vehicle No.,Time of use,Energy used,Age of driver,ID Card No,Sex,Occupation
MNR-04976,2017,1,11,14,27,2017,1,11,14,30,2017,1,11,18,55,2017,1,11,14,51,2017,1,11,15,4,STN-00258,_____,STN-00204,___________,P-COM,___0_402,402,0:12:27,282.5347, , ,,Stuff
MNR-04974,2017,1,11,11,54,2017,1,11,12,0,2017,1,11,13,0,2017,1,11,12,8,2017,1,11,12,42,STN-00204,___________,STN-00204,___________,P-COM,___0_422,422,0:33:51,163.0273, , ,,Stuff
MNR-04975,2017,1,11,12,1,2017,1,11,12,5,2017,1,11,16,30,2017,1,11,12,6,2017,1,11,12,23,STN-00258,_____,STN-00244,________,P-COM,___0_413,413,0:16:42,305.6149, , ,,Stuff
MNR-04973,2017,1,11,8,39,2017,1,11,8,45,2017,1,11,13,10,2017,1,11,8,55,2017,1,11,9,13,STN-00193,________,STN-00201,__________,B-COM,____409,409,0:18:15,242.5995, , ,,Stuff
MNR-04972,2017,1,11,8,38,2017,1,11,8,40,2017,1,11,13,5,2017,1,11,8,44,2017,1,11,8,51,STN-00230,____K_______,STN-00236,____K_______,P-COM,___0_412,412,0:07:05,207.2274, , ,,Stuff
MNR-04971,2017,1,11,8,30,2017,1,11,8,35,2017,1,11,13,0,2017,1,11,8,33,2017,1,11,8,36,STN-00202,________,STN-00204,___________,P-COM,___0_414,414,0:02:55,36.5271, , ,,Stuff
MNR-04970,2017,1,11,8,5,2017,1,11,8,10,2017,1,11,12,35,2017,1,11,8,24,2017,1,11,8,29,STN-00254,_________,STN-00204,___________,P-COM,___0_422,422,0:04:20,84.5273, , ,,Stuff
MNR-04969,2017,1,10,15,40,2017,1,10,15,45,2017,1,10,20,10,2017,1,10,16,4,2017,1,10,16,14,STN-00257,_____,STN-00202,________,P-COM,___0_414,414,0:10:10,276.8008, , ,,Stuff
MNR-04968,2017,1,10,15,29,2017,1,10,15,30,2017,1,10,19,55,2017,1,10,15,38,2017,1,10,15,54,STN-00223,________,STN-00248,_______,P-COM,___0_422,422,0:16:20,370.1033, , ,,Stuff
MNR-04967,2017,1,10,15,16,2017,1,10,15,20,2017,1,10,19,45,2017,1,10,15,26,2017,1,10,15,34,STN-00256,______,STN-00224,_______,P-COM,___0_415,415,0:07:29,103.0721, , ,,Stuff
MNR-04966,2017,1,10,14,42,2017,1,10,14,45,2017,1,10,19,10,2017,1,10,15,14,2017,1,10,15,19,STN-00256,______,STN-00244,________,P-COM,___0_405,405,0:05:18,69.1203, , ,,Stuff
MNR-04965,2017,1,10,14,41,2017,1,10,14,45,2017,1,10,19,10,2017,1,10,15,3,2017,1,10,15,13,STN-00236,____K_______,STN-00256,______,P-COM,___0_421,421,0:10:31,157.5889, , ,,Stuff
MNR-04963,2017,1,10,12,45,2017,1,10,12,50,2017,1,10,17,15,2017,1,10,13,5,2017,1,10,13,15,STN-00255,________________,STN-00196,____ ________,P-COM,___0_402,402,0:09:42,146.0488, , ,,Stuff
MNR-04964,2017,1,10,12,51,2017,1,10,12,55,2017,1,10,14,0,2017,1,10,12,57,2017,1,10,13,44,STN-00204,___________,STN-00204,___________,P-COM,___0_413,413,0:46:22,311.2552, , ,,Stuff
MNR-04962,2017,1,10,12,18,2017,1,10,12,35,2017,1,17,16,55,2017,1,10,12,42,2017,1,10,12,55,STN-00253,______,STN-00230,____K_______,P-COM,___0_412,412,0:13:48,217.2967, , ,,Stuff
