tripduration;Starttime;Stoptime;start station id;start station name;start station latitude;start station longitude;end station id;end station name;end station latitude;end station longitude;bikeid
1007;01/09/2019 00:25;01/09/2019 00:41;67;MIT at Mass Ave / Amherst St;42,3581;-71,093198;226;Commonwealth Ave At Babcock St;42,351547;-71,121262;2535
1276;01/09/2019 00:25;01/09/2019 00:46;46;Christian Science Plaza - Massachusetts Ave at Westland Ave;42,3436658;-71,0858238;17;Soldiers Field Park - 111 Western Ave;42,364263;-71,118276;2821
1314;01/09/2019 00:25;01/09/2019 00:47;46;Christian Science Plaza - Massachusetts Ave at Westland Ave;42,3436658;-71,0858238;17;Soldiers Field Park - 111 Western Ave;42,364263;-71,118276;3697
946;01/09/2019 00:26;01/09/2019 00:41;221;Verizon Innovation Hub 10 Ware Street;42,3725087;-71,1130536;49;Stuart St at Charles St;42,351146;-71,066289;642
944;01/09/2019 00:26;01/09/2019 00:41;221;Verizon Innovation Hub 10 Ware Street;42,3725087;-71,1130536;49;Stuart St at Charles St;42,351146;-71,066289;2229
934;01/09/2019 00:26;01/09/2019 00:41;221;Verizon Innovation Hub 10 Ware Street;42,3725087;-71,1130536;49;Stuart St at Charles St;42,351146;-71,066289;3993
1553;01/09/2019 00:26;01/09/2019 00:52;52;Newbury St at Hereford St;42,348717;-71,085954;428;Western Ave at Richardson St;42,361787;-71,143931;2274
425;01/09/2019 00:27;01/09/2019 00:34;49;Stuart St at Charles St;42,351146;-71,066289;352;Ring Rd;42,348278;-71,080449;5305
1225;01/09/2019 00:28;01/09/2019 00:49;122;Burlington Ave at Brookline Ave;42,345733;-71,100694;19;Park Dr at Buswell St;42,347241;-71,105301;4779
1070;01/09/2019 00:28;01/09/2019 00:46;122;Burlington Ave at Brookline Ave;42,345733;-71,100694;363;Harrison Ave at Mullins Way;42,345216;-71,06384;3881
207;01/09/2019 00:28;01/09/2019 00:32;110;Harvard University Gund Hall at Quincy St / Kirkland S;42,376369;-71,114025;79;Beacon St at Washington / Kirkland;42,37842;-71,105668;4535
737;01/09/2019 00:29;01/09/2019 00:41;104;Harvard University Radcliffe Quadrangle at Shepard St / Garden St;42,380287;-71,125107;99;Wilson Square;42,385582;-71,113341;5160
2951;01/09/2019 00:29;01/09/2019 01:19;5;Northeastern University - North Parking Lot;42,341814;-71,090179;5;Northeastern University - North Parking Lot;42,341814;-71,090179;3798
969;01/09/2019 00:30;01/09/2019 00:46;370;Dartmouth St at Newbury St;42,3509614;-71,0778281;68;Central Square at Mass Ave / Essex St;42,36507;-71,1031;2804
702;01/09/2019 00:30;01/09/2019 00:41;104;Harvard University Radcliffe Quadrangle at Shepard St / Garden St;42,380287;-71,125107;99;Wilson Square;42,385582;-71,113341;5636
930;01/09/2019 00:30;01/09/2019 00:45;370;Dartmouth St at Newbury St;42,3509614;-71,0778281;68;Central Square at Mass Ave / Essex St;42,36507;-71,1031;5036
150;01/09/2019 00:30;01/09/2019 00:32;150;State Street at Channel Center;42,344137;-71,052608;366;Broadway T Stop;42,342781;-71,057473;3857
1056;01/09/2019 00:32;01/09/2019 00:49;52;Newbury St at Hereford St;42,348717;-71,085954;73;Harvard Square at Brattle St / Eliot St;42,373231;-71,120886;3277
1122;01/09/2019 00:32;01/09/2019 00:51;52;Newbury St at Hereford St;42,348717;-71,085954;403;Marion St at Harvard St;42,339781;-71,121334;2234
536;01/09/2019 00:32;01/09/2019 00:41;386;Sennott Park  Broadway at Norfolk Street;42,3686052;-71,0993019;87;Harvard University Housing - 115 Putnam Ave at Peabody Terrace;42,366621;-71,114214;4674
539;01/09/2019 00:32;01/09/2019 00:41;386;Sennott Park  Broadway at Norfolk Street;42,3686052;-71,0993019;87;Harvard University Housing - 115 Putnam Ave at Peabody Terrace;42,366621;-71,114214;5445
316;01/09/2019 00:32;01/09/2019 00:37;95;Cambridge St - at Columbia St / Webster Ave;42,372969;-71,094445;177;University Park;42,362648;-71,100061;297
543;01/09/2019 00:33;01/09/2019 00:42;177;University Park;42,3626478;-71,1000609;384;Clarendon St at Newbury St;42,351553;-71,07569;5146
548;01/09/2019 00:33;01/09/2019 00:42;122;Burlington Ave at Brookline Ave;42,345733;-71,100694;46;Christian Science Plaza - Massachusetts Ave at Westland Ave;42,343666;-71,085824;3475
521;01/09/2019 00:33;01/09/2019 00:42;122;Burlington Ave at Brookline Ave;42,345733;-71,100694;46;Christian Science Plaza - Massachusetts Ave at Westland Ave;42,343666;-71,085824;3618
309;01/09/2019 00:35;01/09/2019 00:40;60;Charles Circle - Charles St at Cambridge St;42,360185;-71,070866;384;Clarendon St at Newbury St;42,351553;-71,07569;4889
393;01/09/2019 00:35;01/09/2019 00:42;60;Charles Circle - Charles St at Cambridge St;42,360185;-71,070866;49;Stuart St at Charles St;42,351146;-71,066289;4971
2149;01/09/2019 00:36;01/09/2019 01:11;271;Ashmont T Stop;42,2856944;-71,0641389;259;Washington St at Bradlee St;42,299165;-71,073459;3643
242;01/09/2019 00:36;01/09/2019 00:40;81;Chinatown T Stop;42,352409;-71,062679;363;Harrison Ave at Mullins Way;42,345216;-71,06384;4760
2163;01/09/2019 00:36;01/09/2019 01:12;271;Ashmont T Stop;42,2856944;-71,0641389;259;Washington St at Bradlee St;42,299165;-71,073459;5007
1595;01/09/2019 00:36;01/09/2019 01:02;24;Seaport Square - Seaport Blvd at Northern Ave;42,3514819;-71,0443609;194;Broadway St at Mt Pleasant St;42,386141;-71,078281;655
1012;01/09/2019 00:36;01/09/2019 00:53;68;Central Square at Mass Ave / Essex St;42,36507;-71,1031;12;Ruggles T Stop - Columbus Ave at Melnea Cass Blvd;42,336244;-71,087986;1320
95;01/09/2019 00:36;01/09/2019 00:38;176;Lesley University;42,386748;-71,1190188;115;Porter Square Station;42,387995;-71,119084;5336
588;01/09/2019 00:37;01/09/2019 00:47;42;Boylston St at Arlington St;42,3520548;-71,0704869;46;Christian Science Plaza - Massachusetts Ave at Westland Ave;42,343666;-71,085824;4943
1124;01/09/2019 00:38;01/09/2019 00:56;73;Harvard Square at Brattle St / Eliot St;42,373231;-71,120886;235;East Somerville Library (Broadway and Illinois);42,387628;-71,083187;1072
179;01/09/2019 00:38;01/09/2019 00:41;338;Commonwealth Ave at Kelton St;42,3483586;-71,1399722;8;Union Square - Brighton Ave at Cambridge St;42,353334;-71,137313;3457
1434;01/09/2019 00:38;01/09/2019 01:02;363;Harrison Ave at Mullins Way;42,3452156;-71,0638403;76;Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St;42,366426;-71,105495;3976
566;01/09/2019 00:38;01/09/2019 00:48;47;Cross St at Hanover St;42,362811;-71,056067;98;Warren St at Chelsea St;42,371848;-71,060292;1968
620;01/09/2019 00:40;01/09/2019 00:50;68;Central Square at Mass Ave / Essex St;42,36507;-71,1031;117;Binney St / Sixth St;42,366088;-71,086336;4871
972;01/09/2019 00:40;01/09/2019 00:56;33;Kenmore Square;42,348706;-71,097009;163;The Lawn on D;42,344792;-71,044024;3411
365;01/09/2019 00:40;01/09/2019 00:46;363;Harrison Ave at Mullins Way;42,3452156;-71,0638403;49;Stuart St at Charles St;42,351146;-71,066289;2774
890;01/09/2019 00:41;01/09/2019 00:56;52;Newbury St at Hereford St;42,348717;-71,085954;9;Commonwealth Ave at Agganis Way;42,351692;-71,119035;4449
906;01/09/2019 00:41;01/09/2019 00:56;412;Washington St at Peters Park;42,3430329;-71,0668873;3;Colleges of the Fenway - Fenway at Avenue Louis Pasteur;42,340115;-71,100619;145
718;01/09/2019 00:42;01/09/2019 00:54;4;Tremont St at E Berkeley St;42,345392;-71,069616;55;Boylston St at Massachusetts Ave;42,347265;-71,088088;3339
403;01/09/2019 00:42;01/09/2019 00:49;89;Harvard Law School at Mass Ave / Jarvis St;42,379011;-71,119945;97;Harvard University River Houses at DeWolfe St / Cowperthwaite St;42,36919;-71,117141;3722
591;01/09/2019 00:43;01/09/2019 00:52;139;Dana Park;42,3617804;-71,1080995;377;Perry Park;42,379273;-71,103419;3221
1288;01/09/2019 00:43;01/09/2019 01:05;190;Nashua Street at Red Auerbach Way;42,365673;-71,064263;359;One Brigham Circle;42,333923;-71,104465;3970
594;01/09/2019 00:43;01/09/2019 00:53;108;Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St;42,377945;-71,116865;87;Harvard University Housing - 115 Putnam Ave at Peabody Terrace;42,366621;-71,114214;4769
272;01/09/2019 00:43;01/09/2019 00:48;76;Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St;42,366426;-71,105495;87;Harvard University Housing - 115 Putnam Ave at Peabody Terrace;42,366621;-71,114214;2418
3599;01/09/2019 00:44;01/09/2019 01:44;42;Boylston St at Arlington St;42,3520548;-71,0704869;42;Boylston St at Arlington St;42,352055;-71,070487;5322
542;01/09/2019 00:44;01/09/2019 00:53;108;Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St;42,377945;-71,116865;87;Harvard University Housing - 115 Putnam Ave at Peabody Terrace;42,366621;-71,114214;5581
