added_route_id,trip_id
27,40730530
24,40730531
27,40730531
24,40730532
27,40730532
24,40730533
27,40730533
24,40730534
27,40730534
24,40730535
27,40730535
24,40730536
27,40730536
24,40730537
27,40730537
24,40730731
27,40730731
24,40730733
27,40730733
24,40730735
27,40730735
24,40730737
27,40730737
24,40730739
27,40730739
24,40730741
27,40730741
24,40730743
27,40730743
24,40731883
27,40731883
24,40732072
27,40732072
24,40732205
27,40732205
24,40732206
27,40732206
24,40732207
27,40732207
24,40732208
27,40732208
24,40732209
27,40732209
24,40732210
27,40732210
24,40732211
27,40732211
24,40732212
27,40732212
24,40732213
27,40732213
24,40732214
27,40732214
24,40727894
27,40727894
24,40727896
27,40727896
24,40727898
27,40727898
24,40727900
27,40727900
24,40727902
27,40727902
24,40727904
27,40727904
24,40730497
27,40730497
24,40730498
27,40730498
24,40730499
27,40730499
24,40730500
27,40730500
24,40730501
27,40730501
24,40730502
27,40730502
24,40730503
27,40730503
24,40730504
27,40730504
24,40730505
27,40730505
24,40730506
27,40730506
24,40730507
27,40730507
24,40730508
27,40730508
24,40730510
27,40730510
24,40730511
27,40730511
24,40730512
27,40730512
24,40730513
27,40730513
24,40730514
27,40730514
24,40730515
27,40730515
24,40730516
27,40730516
24,40730517
27,40730517
24,40730732
27,40730732
24,40730734
27,40730734
24,40730736
27,40730736
24,40730738
27,40730738
24,40730740
27,40730740
24,40730742
27,40730742
24,40730518
27,40730518
24,40731922
27,40731922
24,40732194
27,40732194
24,40732195
27,40732195
24,40732196
27,40732196
24,40732197
27,40732197
24,40732198
27,40732198
24,40732199
27,40732199
24,40732200
27,40732200
24,40732201
27,40732201
24,40732202
27,40732202
24,40732203
27,40732203
24,40732204
27,40732204
32,40727327
33,40727327
32,40727354
33,40727354
32,40731324
33,40731324
37,40730242
38,40730242
37,40730253
38,40730253
37,40730273
38,40730273
37,40730231
38,40730231
37,40730260
38,40730260
37,40730282
38,40730282
40,40728623
50,40728623
40,40728633
50,40728633
40,40730623
50,40730623
40,40730624
50,40730624
40,40730626
50,40730626
40,40730629
50,40730629
40,40732057
50,40732057
40,40732058
